
ইউরোপীয় ইউনিয়ন (ইইউ) থেকে যুক্তরাজ্যের বেরিয়ে যাওয়া বা ব্রেক্সিটের সিদ্ধান্তে কমনওয়েলথভুক্ত দেশগুলোর মধ্যে সবচেয়ে বেশি ক্ষতিগ্রস্ত হবে বাংলাদেশ। যুক্তরাজ্য ইউরোপিয়ান ইউনিয়নে না থাকার কারণে শুল্ক দিতে হবে। আর এই শুল্কের পরিমাণ ২৪ কোটি ৭৯ লাখ ৭৬ হাজার পাউন্ড, যা টাকার অঙ্কে ২ হাজার ৫২৯ কোটি ৩৫ লাখ ৫২ হাজার টাকা।
কমনওয়েলথ সচিবালয় প্রকাশিত ট্রেড হট টপিকস গবেষণা সিরিজের সর্বশেষ সংস্করণে এমন তথ্য তুলে ধরা হয়েছে। গতকাল মঙ্গলবার গবেষণাটি আনুষ্ঠানিকভাবে প্রকাশ করা হয়েছে। সাবেক ব্রিটিশ সাম্রাজ্যভুক্ত ৫৩টি স্বাধীন দেশের আন্তর্জাতিক জোট হলো কমনওয়েলথ।
রপ্তানি উন্নয়ন ব্যুরোর (ইপিবি) তথ্য অনুযায়ী, ২০১৫-১৬ অর্থবছরে যুক্তরাজ্যের বাজারে ৩৮১ কোটি মার্কিন ডলার বা ৩০ হাজার কোটি টাকা মূল্যের পণ্য রপ্তানি করেছে বাংলাদেশ। কমনওয়েলথের হিসাব বিবেচনায় নিলে যুক্তরাজ্যে বাংলাদেশের মোট রপ্তানির ৮ শতাংশই ভবিষ্যতে শুল্ক পরিশোধে ব্যয় হবে।
গবেষণায় বলা হয়েছে, যদি ব্যবস্থা নেওয়া না হয় তাহলে ব্রেক্সিটের কারণে বেশ কয়েকটি কমনওয়েলথভুক্ত দেশ বড় ধরনের ক্ষতির মুখে পড়বে। ব্রেক্সিটের কারণে কমনওয়েলথের স্বার্থ ক্ষুণ্ন হবে, আন্তর্জাতিক বাণিজ্য ক্ষতিগ্রস্ত হবে। সার্বিকভাবে বলা যায়, যুক্তরাজ্যে কমনওয়েলথভুক্ত ৩৬টি উন্নয়নশীল দেশের রপ্তানি নতুন করে অনিশ্চয়তায় পড়বে। যদিও এই সিদ্ধান্ত নেওয়ার ক্ষেত্রে এসব দেশের কোনো মতামত রাখার সুযোগ ছিল না।
ইউরোপিয়ান ইউনিয়ন (ইইউ) বাংলাদেশের মতো স্বল্পোন্নত দেশগুলোকে বিশেষ বাণিজ্য সুবিধা দেয়। এর ফলে বিনা শুল্কে পণ্য আমদানি করতে পারেন ওই দেশগুলোর ব্যবসায়ীরা। এই সুবিধা আছে বলেই বাংলাদেশ ইইউর বাজারে সহজে প্রবেশ করতে পারছে। কিন্তু ব্রেক্সিটের কারণে যুক্তরাজ্যের বাজারে একই ধরনের সুবিধা বহাল রাখা না হলে শুল্ক দিয়েই পণ্য রপ্তানি করতে হবে।
গবেষণাটিতে বলা হয়েছে, নতুন করে কোনো উদ্যোগ না নিলে বাংলাদেশকে প্রায় ২৫ লাখ পাউন্ড কেবল শুল্ক হিসেবেই যুক্তরাজ্যকে দিতে হবে, যা টাকার অঙ্কে আড়াই হাজার কোটি টাকারও বেশি। এই অর্থ যুক্তরাজ্যে মোট রপ্তানির প্রায় ১২ শতাংশ। অর্থের পরিমাণ বিবেচনায় নিলে কমনওয়েলথভুক্ত দেশগুলোর মধ্যে সবচেয়ে বেশি ক্ষতিগ্রস্ত হবে বাংলাদেশ। এরপরই আছে ভারত, ১২ লাখ ২২ হাজার পাউন্ড, যা মোট যুক্তরাজ্যে রপ্তানির ১ দশমিক ৭ শতাংশ। তবে যুক্তরাজ্যে মোট রপ্তানির শতাংশ হিসেবে ধরলে সবচেয়ে বেশি ক্ষতিগ্রস্ত হবে সিসিলিস। দেশটিকে শুল্ক দিতে হবে ২ লাখ ৫৬ হাজার ৮৫ হাজার পাউন্ড। বাংলাদেশের তুলনায় কম শুল্ক দিতে হলেও দেশটির মোট রপ্তানির পরিমাণই কম। হিসাব অনুযায়ী, দেশটিকে শুল্ক দিতে হবে যুক্তরাজ্যে তাদের মোট রপ্তানির ২৩ দশমিক ৪ শতাংশ।
গবেষণায় এ অবস্থায় চারটি বিকল্প পথের কথা বলা হয়েছে। এর মধ্যে সহজ পথটি হচ্ছে স্থিতাবস্থা বজায় রাখা। অর্থাৎ এখন যেভাবে চলছে, সেভাবেই আপাতত চলবে। ব্রেক্সিট থেকে পুরোপুরি বের হতে যুক্তরাজ্যকে কম করে হলেও আড়াই বছরের বেশি সময় লাগবে। এই সময় পর্যন্ত বিদ্যমান ব্যবস্থাটি টিকে থাকবে। আর এ সময়ের মধ্যে যুক্তরাজ্য নিজেদের উপযোগী একটি বাণিজ্যব্যবস্থা তৈরি করতে পারবে। দ্বিতীয় বিকল্প হচ্ছে, একটি নতুন ও উন্নত ইউকে জিএসপি (জেনারেলাইজড সিস্টেম অব প্রেফারেন্সেস) ব্যবস্থা তৈরি করা। এর মাধ্যমে অন্য দেশগুলোর ক্ষেত্রে যুক্তরাজ্যের বাণিজ্য নীতি কী হবে, তা নির্ধারণ করা যাবে। বিশ্ববাণিজ্য সংস্থার (ডব্লিউটিও) নীতিমালা অনুযায়ী এই ব্যবস্থাটি হতে পারে। তৃতীয় বিকল্প হচ্ছে যুক্তরাজ্য চাইলে আরও উদার নীতি গ্রহণ করতে পারে। আর সবশেষ বিকল্পটি হচ্ছে দেশগুলোর সঙ্গে আলাদা মুক্ত বাণিজ্য চুক্তি করা।
সবশেষে গবেষণায় কমনওয়েলথ দেশগুলোকেও তাদের বক্তব্য যুক্তরাজ্যের কাছে জোরালোভাবে তুলে ধরার কথা বলা হয়েছে। এ জন্য দেশগুলোকে দ্রুত এড়িয়ে যেতে হবে। যা কিছু করার আগামী দুই থেকে আড়াই বছরের মধ্যেই করতে হবে।
কার কত ক্ষতি
কমনওয়েলথ         সম্ভাব্য শুল্ক               যুক্তরাজ্যে
 দেশ                  (পাউন্ড)                  আমদানির অংশ
বাংলাদেশ          ২৪৭, ৯৭৬,০০০      ১১.৭%
ভারত              ১২২,২৭২,০০০        ১.৭%
পাকিস্তান           ১০৮,৩২২,০০০       ৯.২%
দক্ষিণ আফ্রিকা     ৬৩,৮২২,০০০        ১.৪%
মরিশাস            ৪১,২৩২,০০০         ১৪.৩%
সিসিলিস           ২৫,৬৮৫,০০০        ২৩.৪%
ঘানা               ২২,৪৬৮,০০০        ৬.৯%
শ্রীলঙ্কা             ১৮,৮৫৯,০০০        ২.৩%
কেনিয়া             ১৮,৩৩৭,০০০        ৫.৩%
পাপুয়া নিউগিনি    ১০,০৮৩,০০০        ৬.৭%
