
একই দিনে দ্বিতীয় হলেন অ্যারন ফিঞ্চ ও ইমরান তাহির। অস্ট্রেলিয়ার ব্যাটসম্যান ফিঞ্চ কাল মেলবোর্নে ছুঁয়েছেন আন্তর্জাতিক টি-টোয়েন্টিতে ১০০০ রানের মাইলফলক। ২০ ওভারের আন্তর্জাতিক ক্রিকেটে হাজার রান করা ৩৫তম ব্যাটসম্যান হলেও ইনিংসের হিসাবে ফিঞ্চ দ্বিতীয় দ্রুততম। ২৯ ইনিংস লেগেছে ফিঞ্চের চার অঙ্কে পৌঁছাতে। ভারতের বিরাট কোহলি ২৭ ইনিংসেই ছুঁয়েছিলেন মাইলফলকটা। তবে ম্যাচের হিসাবে কোহলি-ফিঞ্চরা আছেন সমতায়। দুজনই ২৯তম ম্যাচে ছুঁলেন হাজার রান। দক্ষিণ আফ্রিকার লেগ স্পিনার তাহির অকল্যান্ডে ছুঁয়েছেন ৫০ উইকেটের মাইলফলক। আন্তর্জাতিক টি-টোয়েন্টিতে ৫০ উইকেট নেওয়া ১৭তম বোলার তাহির মাইলফলক ছুঁলেন ৩১ ম্যাচে। তাঁর চেয়ে কম ম্যাচে ৫০ উইকেট পেয়েছেন শুধু অজন্তা মেন্ডিস। শ্রীলঙ্কান রহস্য স্পিনার ২৬ ম্যাচেই পেয়েছিলেন ৫০তম উইকেট।
আন্তর্জাতিক টি-টোয়েন্টিতে দ্রুততম ১০০০ রান
ইনিংস        ব্যাটসম্যান                     দেশ                         সাল
২৭       বিরাট কোহলি            ভারত                 ২০১৫
২৯       অ্যারন ফিঞ্চ              অস্ট্রেলিয়া              ২০১৭
৩২       কেভিন পিটারসেন        ইংল্যান্ড                ২০১১
৩২       অ্যালেক্স হেলস           ইংল্যান্ড                ২০১৪
৩২       ফাফ ডু প্লেসি             দ. আফ্রিকা            ২০১৬
আন্তর্জাতিক টি-টোয়েন্টিতে দ্রুততম ৫০ উইকেট
ম্যাচ           বোলার                          দল                          সাল
২৬       অজন্তা মেন্ডিস            শ্রীলঙ্কা                ২০১২
৩১       ইমরান তাহির             দ. আফ্রিকা            ২০১৭
৩৫      ডেল স্টেইন                দ. আফ্রিকা            ২০১৪
৩৬      উমর গুল                 পাকিস্তান              ২০১১
৩৭       সাঈদ আজমল            পাকিস্তান              ২০১২
