
সাল      চ্যাম্পিয়ন          রানার্সআপ
১৯৮৪           ভারত                শ্রীলঙ্কা
১৯৮৬        শ্রীলঙ্কা                পাকিস্তান
১৯৮৮          ভারত                শ্রীলঙ্কা
১৯৯০-৯১     ভারত                শ্রীলঙ্কা
১৯৯৫           ভারত                শ্রীলঙ্কা
১৯৯৭        শ্রীলঙ্কা                   ভারত
২০০০       পাকিস্তান                শ্রীলঙ্কা
২০০৪        শ্রীলঙ্কা                   ভারত
২০০৮       শ্রীলঙ্কা                   ভারত
২০১০          ভারত                শ্রীলঙ্কা
২০১২       পাকিস্তান                বাংলাদেশ
২০১৪      শ্রীলঙ্কা          পাকিস্তান
