
পরশু আর্চারির কম্পাউন্ড বোয়ের ফাইনালে উঠে রুপা নিশ্চিত করেছিলেন বাংলাদেশের নারী তিরন্দাজরা। শেষ পর্যন্ত আর রুপাকে সোনায় পরিণত করতে পারেনি বাংলাদেশের দলটি। শিলংয়ের জওহরলাল নেহরু স্পোর্টস কমপ্লেক্সের পোলো গ্রাউন্ডে কাল সুস্মিতা বণিক, তামান্না পারভীন ও রুকসানা আক্তারের বাংলাদেশ ফাইনালে হেরেছে ভারতীয় প্রতিযোগীদের কাছে।
এই ইভেন্টে ছেলেদের দলগত খেলায় ব্রোঞ্জ জিতেছে বাংলাদেশ। এই দলে ছিলেন আনোয়ারুল কাদের, সুমন কুমার। এর আগে ছেলেদের কম্পাউন্ড বোয়ের মিশ্র দ্বৈতেও রুপা জেতে বাংলাদেশ। আনোয়ার ও সুস্মিতা বণিক ফাইনালে হেরেছেন ভারতের তিরন্দাজদের কাছে।
হকিতে প্রথম ম্যাচে ভারতের কাছে হারের পর কাল হকি দল জিতেছে শ্রীলঙ্কার সঙ্গে। ভেতাপুরা মওলানা তায়েবুল্লাহ স্টেডিয়ামে কাল বাংলাদেশ ২-০ গোলে হারিয়েছে শ্রীলঙ্কাকে। ১২টি পেনাল্টি কর্নার পেয়েও মাত্র দুটি গোল করেছে বাংলাদেশ। গোলদাতা রাসেল মাহমুদ জিমি ও খোরশেদুর রহমান।
সাঁতারে মাহফুজা খাতুন সোনা জিতেছেন ৫০ মিটার ব্রেস্ট স্টোকে। ব্রোঞ্জ জিতেছেন জুয়েল আহমেদ (৪০০ মিটার ব্যক্তিগত মিডলে) ও শাজাহান আলী রনি (৫০ মিটার ব্রেস্ট স্ট্রোক)।
ভারোত্তোলনে আগের দিন সোনাজয়ী বাংলাদেশ কাল মাত্র একটি ব্রোঞ্জ পেয়েছে। ৭৫ কেজিতে ব্রোঞ্জ জিতেছেন ফিরোজা বেগম। খো খোর ফাইনালে উঠেছে পুরুষ ও মহিলা দল। আজ সোনার লড়াইয়ে দুই দলেরই প্রতিপক্ষ ভারত। কুস্তিতে রুপা জিতেছেন ফারজানা আক্তার ও শিরিন সুলতানা। ব্রোঞ্জ জিতেছেন মিনা আক্তার ও বিল্লাল হোসেন। উশুতে ৪টি ব্রোঞ্জ জিতেছেন ফরিদা বেগম, নূর বানু, মিলন আলী ও আনিসুর রহমান। ব্যাডমিন্টনে পুরুষ ও মহিলা দ্বৈতে ব্রোঞ্জ জিতেছে বাংলাদেশ।
 
এসএ গেমস পদক তালিকা
                 সোনা  রুপা  ব্রোঞ্জ
ভারত           ৫৩      ২০       ৬
শ্রীলঙ্কা          ১১      ২৭      ২৩
পাকিস্তান        ৪       ১১       ১৪
বাংলাদেশ       ৩        ৭       ২১
নেপাল           ১        ৪         ৭
আফগানিস্তান   ০        ২         ৫
ভুটান             ০        ১         ১
মালদ্বীপ          ০        ০        ১
 
