
                  সোনা    রুপা    ব্রোঞ্জ
দ. কোরিয়া    ১২     ১০      ৯
চীন            ১২      ৯      ১১
জাপান         ৭       ৮      ১১
মঙ্গোলিয়া      ২       ২       ৪
কাজাখস্তান     ২       ১       ৫
উ. কোরিয়া    ২       ০       ৩
ভিয়েতনাম     ১       ২       ৪
চীনা তাইপে    ১       ১       ২
মালয়েশিয়া     ১       ১       ০
হংকং           ১       ০       ৩
ভারত          ১       ০       ৩
ইন্দোনেশিয়া   ০       ২       ১
কুয়েত          ০       ২       ০
ম্যাকাউ        ০       ২       ০
লেবানন        ০       ১       ০
