
          চ্যাম্পিয়ন          রানার্সআপ
১৯৩০  উরুগুয়ে          আর্জেন্টিনা
১৯৩৪  ইতালি          চেকোস্লোভাকিয়া
১৯৩৮  ইতালি          হাঙ্গেরি
১৯৫০  উরুগুয়ে             ব্রাজিল
১৯৫৪  প. জার্মানি          হাঙ্গেরি
১৯৫৮  ব্রাজিল          সুইডেন
১৯৬২  ব্রাজিল          চেকোস্লোভাকিয়া
১৯৬৬  ইংল্যান্ড          প. জার্মানি
১৯৭০  ব্রাজিল          ইতালি
১৯৭৪  প. জার্মানি          হল্যান্ড
১৯৭৮          আর্জেন্টিনা         হল্যান্ড
১৯৮২  ইতালি          প. জার্মানি
১৯৮৬          আর্জেন্টিনা         প. জার্মানি
১৯৯০ প. জার্মানি          আর্জেন্টিনা
১৯৯৪  ব্রাজিল          ইতালি
১৯৯৮  ফ্রান্স          ব্রাজিল
২০০২  ব্রাজিল          জার্মানি
২০০৬  ইতালি          ফ্রান্স
২০১০  স্পেন          হল্যান্ড
২০১৪     জার্মানি            আর্জেন্টিনা
