
 
             ম্যাচ       ভেন্যু    সাল
জালাল-উদ-দিন        পাকিস্তান-অস্ট্রেলিয়া        হায়দরাবাদ   ১৯৮২
ব্রুস রিড        অস্ট্রেলিয়া-নিউজিল্যান্ড        সিডনি       ১৯৮৬
চেতন শর্মা        ভারত-নিউজিল্যান্ড        নাগপুর      ১৯৮৭
ওয়াসিম আকরাম        পাকিস্তান-ও. ইন্ডিজ        শারজা       ১৯৮৯
ওয়াসিম আকরাম        পাকিস্তান-অস্ট্রেলিয়া        শারজা       ১৯৯০
কপিল দেব        ভারত-শ্রীলঙ্কা        কলকাতা      ১৯৯১
আকিব জাভেদ        পাকিস্তান-ভারত        শারজা       ১৯৯১
ড্যানি মরিসন        নিউজিল্যান্ড-ভারত        নেপিয়ার     ১৯৯৪
ওয়াকার ইউনিস        পাকিস্তান-নিউজিল্যান্ড        ইস্ট লন্ডন   ১৯৯৪
সাকলায়েন মুশতাক        পাকিস্তান-জিম্বাবুয়ে        পেশোয়ার     ১৯৯৬
এডো ব্র্যান্ডেস        জিম্বাবুয়ে-ইংল্যান্ড        হারারে      ১৯৯৭
অ্যান্থনি স্টুয়ার্ট        অস্ট্রেলিয়া-পাকিস্তান        মেলবোর্ন    ১৯৯৭
সাকলায়েন মুশতাক        পাকিস্তান-জিম্বাবুয়ে        ওভাল        ১৯৯৯
চামিন্ডা ভাস        শ্রীলঙ্কা-জিম্বাবুয়ে        কলম্বো      ২০০১
মোহাম্মদ সামি        পাকিস্তান-ও. ইন্ডিজ        শারজা       ২০০২
চামিন্ডা ভাস        শ্রীলঙ্কা-বাংলাদেশ        পিটারমারিজবার্গ        ২০০৩
ব্রেট লি        অস্ট্রেলিয়া-কেনিয়া        ডারবান      ২০০৩
জেমস অ্যান্ডারসন        ইংল্যান্ড-পাকিস্তান        ওভাল        ২০০৩
স্টিভ হার্মিসন        ইংল্যান্ড-ভারত        নটিংহাম     ২০০৪
চার্ল ল্যাঙ্গেভেল্ট       দ. আফ্রিকা-ও. ইন্ডিজ        বারবাডোজ    ২০০৫
শাহাদাত হোসেন        বাংলাদেশ-জিম্বাবুয়ে        হারারে      ২০০৬
জেরোম টেলর        ও. ইন্ডিজ-অস্ট্রেলিয়া        মুম্বাই     ২০০৬
শেন বন্ড        নিউজিল্যান্ড-অস্ট্রেলিয়া        হোবার্ট     ২০০৭
লাসিথ মালিঙ্গা        শ্রীলঙ্কা-দ. আফ্রিকা        গায়ানা      ২০০৭
অ্যান্ড্রু ফ্লিনটফ        ইংল্যান্ড-ও. ইন্ডিজ        সেন্ট লুসিয়া        ২০০৯
ফারভিজ মাহারুফ        শ্রীলঙ্কা-ভারত        ডাম্বুলা    ২০১০
আবদুর রাজ্জাক        বাংলাদেশ-জিম্বাবুয়ে        ঢাকা        ২০১০
কেমার রোচ        ও. ইন্ডিজ-হল্যান্ড        দিল্লি      ২০১১
লাসিথ মালিঙ্গা        শ্রীলঙ্কা-কেনিয়া        কলম্বো      ২০১১
লাসিথ মালিঙ্গা        শ্রীলঙ্কা-অস্ট্রেলিয়া        কলম্বো      ২০১১
ড্যান ক্রিস্টিয়ান        অস্ট্রেলিয়া-শ্রীলঙ্কা        মেলবোর্ন    ২০১২
থিসারা পেরেরা        শ্রীলঙ্কা-পাকিস্তান        কলম্বো      ২০১২
ক্লিন্ট ম্যাকাই       অস্ট্রেলিয়া-ইংল্যান্ড       কার্ডিফ       ২০১৩
l সর্বোচ্চ ৩টি হ্যাটট্রিক মালিঙ্গার। প্রথমবার ৪ উইকেট নিয়েছিলেন ৪ বলে
