
মৌসুম      চ্যাম্পিয়ন    রানার্সআপ
১৯৯৯-০০*  চট্টগ্রাম           সিলেট
২০০০-০১    বিমান            চট্টগ্রাম
২০০১-০২    ঢাকা বিভাগ    রাজশাহী
২০০২-০৩    খুলনা             ঢাকা বিভাগ
২০০৩-০৪    ঢাকা বিভাগ    সিলেট
২০০৪-০৫    ঢাকা বিভাগ    রাজশাহী
২০০৫-০৬    রাজশাহী        চট্টগ্রাম
২০০৬-০৭    ঢাকা বিভাগ    রাজশাহী
২০০৭-০৮    খুলনা             রাজশাহী
২০০৮-০৯    রাজশাহী        বরিশাল
২০০৯-১০    রাজশাহী        চট্টগ্রাম
২০১০-১১     রাজশাহী        ঢাকা বিভাগ
২০১১-১২     রাজশাহী        খুলনা
২০১২-১৩     খুলনা             ঢাকা বিভাগ
২০১৩-১৪     ঢাকা বিভাগ    রাজশাহী
২০১৪-১৫     রংপুর            খুলনা
২০১৫-১৬  খুলনা         ঢাকা মহানগর
* প্রথম শ্রেণির মর্যাদা ছিল না।
 
