
ওয়ার্ড                                   পুরুষ            নারী             মোট
১নং দক্ষিণ পাহাড়তলী           ১৫৭৯৯       ১৩৪৪২        ২৯২৪১ 
২নং জালালাবাদ                 ৪৬১৮৭       ৪৩৫০৪       ৮৯৬৯১
৩নং পাঁচলাইশ                  ২৩৮০১       ২৩৪৪০       ৪৭২৪১
৪নং চান্দগাঁও                    ৩৬২০৫       ৩৫২৫৯       ৭১৪৬৪
৫নং মোহরা                     ২৯৮৬৬       ২৮৪১৯       ৫৮২৮৫
৬নং পূর্ব ষোলশহর              ১৮৫৯৯       ১৯০১০        ৩৭৬০৯
৭নং পশ্চিম ষোলশহর           ৪১৪৭১        ৪০৫২৯       ৮২০০০
৮নং শুলকবহর                  ৪২৩৬৫       ৩৮৪৭৩       ৮০৮৩৮
৯নং উত্তর পাহাড়তলী           ৩১৬৯৮       ২৮১২১        ৫৯৮১৯
১০নং উত্তর কাট্টলী               ১৮৬৯৩       ১৬৯১৪        ৩৫৬০৭
১১নং দক্ষিণ কাট্টলী              ২৮৭৭০       ২৮২৬৮       ৫৭০৩৮
১২নং সরাইপাড়া                ২৬৪৯৭       ২৪৫৫৩       ৫১০৫০
১৩নং পাহাড়তলী                ২৬৩৫৭       ২৪৬৭৮       ৫১০৩৫
১৪নং লালখান বাজার           ২৩৮৮২       ২০৯০২       ৪৪৭৮৪
১৫নং বাগমনিরাম               ১৮১২৪        ১৫২৮৬       ৩৩৪১০
১৬নং চকবাজার                 ১৫২৭২        ১৪২৯৩       ২৯৫৬৫
১৭নং পশ্চিম বাকলিয়া           ২২৬৯৯       ২৪৮৮৫       ৪৭৫৮৪
১৮নং পূর্ব বাকলিয়া              ১৭৫৯৫       ১৬৬৭৪       ৩৪২৬৯
১৯নয় দক্ষিণ বাকলিয়া          ১৮৮৩৭       ২০৪৪৭        ৩৯২৮৪
২০নং দেওয়ান বাজার           ১১১৫৮        ৯৯৮৬        ২১১৪৪
২১নং জামালখান                ১৪২১৬        ১৩৮৩৭       ২৮০৫৩
২২নং এনায়েত বাজার           ১১৬৩২        ১০৮২২        ২২৪৫৪
২৩নং উত্তর পাঠানটুলী          ১১৮৩৮       ১০৭৫০        ২২৫৮৮
২৪নং উত্তর আগ্রাবাদ            ৪৫৩৭৪       ৪৪০৭৩       ৮৯৪৪৭
২৫নং রামপুর                   ১৭৬৯৮       ১৮০২৩       ৩৫৭২১
২৬নং উত্তর হালিশহর           ১৮৯৭৭       ১৬৪৪৬       ৩৫৪২৩
২৭নং দক্ষিণ আগ্রাবাদ           ২৩৪০৪       ২১৯২২        ৪৫৩২৬
২৮নং পাঠানটুলী                ১৯৭২৭        ১৭৪৪৩        ৩৭১৭০
২৯নং পশ্চিম মাদারবাড়ী         ১৫৩৫৮       ১৩৪৮৮       ২৮৮৪৬
৩০নং পূর্ব মাদারবাড়ী           ১৭৯৮৮       ১৬৪৫১        ৩৪৪৩৯
৩১নং আলকরণ                  ১০৬০০        ৪৪৩৪         ১৫০৩৪
৩২নং আন্দরকিল্লা               ১১০৪৪        ৬১৭৬         ১৭২২০
৩৩নং ফিরিঙ্গী বাজার           ১০৪০০        ৯৩০৭         ১৯৭০৭
৩৪নং পাথরঘাটা                ১১৬৬৩       ১১৬১৯        ২৩২৮২
৩৫নং বক্সিরহাট                 ১১৯৬৪        ৭০৩৭         ১৯০০১
৩৬নং গোসাইলডাঙ্গা            ১৮২৫০       ১৪১৮০        ৩২৪৩০
৩৭নং উত্তর মধ্যম হালিশহর     ১৫২৮১        ১৩৩৬৮       ২৮৬৪৯
৩৮নং দক্ষিণ মধ্যম হালিশহর   ৪২২৫৫       ৪৩২২০       ৮৫৪৭৫
৩৯নং দক্ষিণ হালিশহর          ৬১০৩২       ৬২৩৭৪       ১২৩৪০৬
৪০নং উত্তর পতেঙ্গা              ২৫০৬৪       ২২৯৯১       ৪৮০৫৫
৪১নং দক্ষিণ পতেঙ্গা             ১৭৩৩৯       ১৩৫২৮       ৩০৮৬৭
